# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
5	5	0.108	XP_012334815.1	XP_019914241.1	XP_016653768.1	XP_028529477.1	XP_028860712.1
5	5	0.133	XP_012335783.1	XP_019917551.1	XP_744572.2	XP_028529948.1	XP_028864739.1
5	5	0.121	XP_012333336.1	XP_019916347.1	XP_732307.2	XP_028530249.1	XP_028864129.1
5	5	0.223	XP_012337435.1	XP_019913648.1	XP_016655181.1	XP_028530076.1	XP_028862147.1
5	6	0.256	XP_012335691.1	XP_019916521.1	XP_743205.1	XP_028527453.1	XP_028863405.1,XP_028863952.1
5	5	0.211	XP_012336079.1	XP_019913348.1	XP_746248.2	XP_028527184.1	XP_028859618.1
5	5	0.118	XP_012334389.1	XP_019913268.1	XP_745430.2	XP_028528252.1	XP_028859741.1
5	5	0.106	XP_012338082.1	XP_019915060.1	XP_735402.2	XP_028529324.1	XP_028861879.1
5	5	0.293	XP_012335063.1	XP_019912925.1	XP_738803.2	XP_028530906.1	XP_028859358.1
5	5	0.35	XP_012338421.1	XP_019912442.1	XP_733436.2	XP_028526200.1	XP_028860051.1
5	5	0.199	XP_012336391.1	XP_019915751.1	XP_016653009.1	XP_028526508.1	XP_028862708.1
5	5	0.389	XP_012338129.1	XP_019916435.1	XP_742927.2	XP_028527700.1	XP_028863162.1
5	6	0.293	XP_012334307.1	XP_019913541.1	XP_016653635.1	XP_028526232.1	XP_028860481.1,XP_028864052.1
5	5	0.285	XP_012334867.1	XP_019917337.1	XP_741333.2	XP_028528386.1	XP_028863911.1
5	5	0.249	XP_012336486.1	XP_019916554.1	XP_741193.2	XP_028527520.1	XP_028863339.1
5	5	0.156	XP_012337638.1	XP_019916014.1	XP_016653996.1	XP_028526645.1	XP_028862575.1
5	5	0.167	XP_012334695.1	XP_019917623.1	XP_016655013.1	XP_028529750.1	XP_028864546.1
5	5	0.3	XP_012334698.1	XP_019917499.1	XP_016655010.1	XP_028529747.1	XP_028864543.1
5	5	0.279	XP_012333947.1	XP_019913996.1	XP_745359.1	XP_028529424.1	XP_028860660.1
5	5	0.158	XP_012334458.1	XP_019915988.1	XP_745602.2	XP_028526443.1	XP_028862771.1
5	5	0.102	XP_012337807.1	XP_019916394.1	XP_733186.2	XP_028530417.1	XP_028864293.1
5	5	0.318	XP_012337196.1	XP_019913685.1	XP_743513.2	XP_028529995.1	XP_028859034.1
5	5	0.343	XP_012336135.1	XP_019915949.1	XP_016654063.1	XP_028526784.1	XP_028862443.1
4	4	0.331	XP_012334211.1	XP_019912629.1	*	XP_028526060.1	XP_028860263.1
4	4	0.278	*	XP_019913162.1	XP_738114.2	XP_028527140.1	XP_028859661.1
4	4	0.478	XP_012333814.1	XP_019913476.1	XP_740169.2	*	XP_028860343.1
4	4	0.193	XP_012333805.1	XP_019913516.1	*	XP_028526320.1	XP_028860334.1
4	4	0.238	XP_012336126.1	XP_019915885.1	*	XP_028526774.1	XP_028862453.1
4	4	0.356	XP_031850603.1	*	YP_009272522.1	YP_009325471.1	YP_009307925.1
4	4	0.241	XP_012336596.1	XP_019914192.1	*	XP_028528059.1	XP_028860946.1
4	4	0.194	XP_012337340.1	XP_019912741.1	XP_736885.2	*	XP_028860118.1
4	4	0.465	XP_012337048.1	*	XP_016654681.1	XP_028527839.1	XP_028863026.1
4	4	0.45	XP_012336693.1	XP_019913828.1	XP_745910.2	XP_028530098.1	*
4	4	0.111	XP_012338504.1	XP_019913441.1	XP_016655247.1	XP_028527340.1	*
4	4	0.336	XP_012336044.1	XP_019913006.1	XP_016653235.1	*	XP_028859583.1
4	4	0.406	XP_012335643.1	*	XP_740051.2	XP_028527405.1	XP_028863453.1
4	4	0.437	XP_012333529.1	XP_019917148.1	XP_736444.2	XP_028528581.1	*
4	4	0.429	XP_012333191.1	XP_019914991.1	XP_737548.1	*	XP_028861793.1
4	4	0.398	XP_012338503.1	*	XP_016654228.1	XP_028527050.1	XP_028861177.1
4	4	0.197	XP_012333781.1	XP_019913465.1	XP_739913.1	*	XP_028860309.1
5	7	0.482	XP_012337457.1	XP_019916508.1	XP_016654472.1,XP_740385.2,XP_744254.2	XP_028527472.1	XP_028863387.1
5	7	0.544	XP_012337034.1	XP_019916333.1	XP_016654569.1,XP_016654572.1,XP_742442.2	XP_028527650.1	XP_028863211.1
5	7	0.477	XP_012336089.1	XP_019913351.1	XP_016655470.1,XP_737692.2,XP_742913.2	XP_028527174.1	XP_028859628.1
5	6	0.452	XP_012335090.1,XP_012335089.1	XP_019913150.1	XP_737289.2	XP_028528751.1	XP_028863550.1
5	11	0.614	XP_012334520.1,XP_012335258.1,XP_012336389.1	XP_019915963.1,XP_019915991.1	XP_016653007.1,XP_736895.2	XP_028526505.1,XP_028526579.1	XP_028862642.1,XP_028862710.1
5	10	0.67	XP_012333987.1,XP_012338397.1	XP_019913593.1,XP_019914150.1	XP_016653340.1,XP_739480.2	XP_028527342.1,XP_028529385.1	XP_028860536.1,XP_028860623.1
5	9	0.651	XP_012336098.1,XP_012336099.1	XP_019915908.1,XP_019916053.1	XP_740500.2,XP_744890.2	XP_028526747.1	XP_028862478.1,XP_028862479.1
5	5	0.269	XP_012338211.1	XP_019917080.1	XP_016654596.1	XP_028527688.1	XP_028863174.1
5	5	0.575	XP_012337585.1	XP_019917302.1	XP_738899.2	XP_028528627.1	XP_028863673.1
5	5	0.264	XP_012337263.1	XP_019914836.1	XP_744553.2	XP_028529025.1	XP_028861589.1
5	5	0.325	XP_012336926.1	XP_019917582.1	XP_016654938.1	XP_028529343.1	XP_028864388.1
5	5	0.341	XP_012338242.1	XP_019917290.1	XP_016655633.1	XP_028528457.1	XP_028863839.1
5	5	0.333	XP_012337104.1	XP_019916384.1	XP_734514.2	XP_028528024.1	XP_028862838.1
5	5	0.228	XP_012336231.1	XP_019915250.1	XP_745783.2	XP_028530724.1	XP_028862074.1
5	5	0.503	XP_012337052.1	XP_019916573.1	XP_734135.2	XP_028527843.1	XP_028863022.1
5	5	0.205	XP_012336074.1	XP_019913194.1	XP_016653223.1	XP_028527191.1	XP_028859612.1
4	5	0.391	XP_012334709.1,XP_012335398.1	*	XP_016655003.1	XP_028529736.1	XP_028864532.1
5	5	0.339	XP_012335386.1	XP_019917587.1	XP_016654999.1	XP_028526412.1	XP_028864522.1
5	5	0.382	XP_012337153.1	XP_019914613.1	XP_734325.2	XP_028527020.1	XP_028861147.1
5	5	0.334	XP_012334623.1	XP_019917685.1	XP_016655053.1	XP_028529825.1	XP_028864620.1
5	5	0.35	XP_012334045.1	XP_019912584.1	XP_016653716.1	XP_028530826.1	XP_028859968.1
5	5	0.527	XP_012333225.1	XP_019914807.1	XP_016653565.1	XP_028529270.1	XP_028861826.1
5	5	0.36	XP_012333665.1	XP_019914356.1	XP_742942.2	XP_028527122.1	XP_028861249.1
5	5	0.303	XP_012336011.1	XP_019917626.1	XP_016655059.1	XP_028529845.1	XP_028864640.1
5	5	0.241	XP_012336024.1	XP_019917641.1	XP_016655056.1	XP_028529832.1	XP_028864627.1
5	5	0.159	XP_012335943.1	XP_019914284.1	XP_739568.2	XP_028529601.1	XP_028860836.1
5	5	0.195	XP_012335157.1	XP_019916555.1	XP_738747.2	XP_028530413.1	XP_028864290.1
5	5	0.108	XP_012335188.1	XP_019916860.1	XP_738752.2	XP_028530381.1	XP_028864258.1
5	5	0.206	XP_012336853.1	XP_019913168.1	XP_733391.2	XP_028528208.1	XP_028859691.1
5	5	0.363	XP_012338201.1	XP_019915790.1	XP_742767.2	XP_028526674.1	XP_028862548.1
5	5	0.291	XP_012334438.1	XP_019915974.1	XP_744714.2	XP_028526422.1	XP_028862792.1
5	5	0.306	XP_012337642.1	XP_019915567.1	XP_016653999.1	XP_028526649.1	XP_028862571.1
5	5	0.456	XP_012336757.1	XP_019913032.1	XP_732711.2	XP_028528726.1	XP_028863575.1
5	5	0.196	XP_012337678.1	XP_019915689.1	XP_743800.2	XP_028526718.1	XP_028862505.1
5	5	0.424	XP_012334256.1	XP_019913569.1	XP_016653666.1	XP_028526005.1	XP_028860430.1
5	5	0.539	XP_012333815.1	XP_019913512.1	XP_739639.2	XP_028526310.1	XP_028860344.1
5	5	0.517	XP_012335974.1	XP_019917562.1	XP_016655082.1	XP_028529884.1	XP_028864679.1
5	5	0.37	XP_012335611.1	XP_019914410.1	XP_744187.2	XP_028529720.1	XP_028861066.1
5	5	0.321	XP_012337670.1	XP_019915720.1	XP_733479.2	XP_028526726.1	XP_028862498.1
5	5	0.103	XP_012334631.1	XP_019917646.1	XP_016655047.1	XP_028529815.1	XP_028864610.1
5	5	0.167	XP_012336445.1	XP_019916337.1	XP_016654521.1	XP_028527564.1	XP_028863295.1
5	5	0.117	XP_012337800.1	XP_019916067.1	XP_739286.2	XP_028530424.1	XP_028864300.1
5	5	0.556	XP_012333410.1	XP_019916425.1	XP_744653.2	XP_028527823.1	XP_028863042.1
5	5	0.213	XP_012334786.1	XP_019914005.1	XP_733578.2	XP_028529509.1	XP_028860742.1
5	5	0.175	XP_012336183.1	XP_019917740.1	XP_016654953.1	XP_028530556.1	XP_028864429.1
5	5	0.439	XP_012334233.1	XP_019913365.1	XP_016653673.1	XP_028526024.1	XP_028860493.1
5	5	0.35	XP_012336649.1	XP_019914212.1	XP_732423.2	XP_028529664.1	XP_028860898.1
5	5	0.445	XP_012336151.1	XP_019917553.1	XP_016654943.1	XP_028530525.1	XP_028864398.1
5	5	0.341	XP_012335321.1	XP_019916055.1	XP_744792.1	XP_028526639.1	XP_028862581.1
5	5	0.371	XP_012337489.1	XP_019916690.1	XP_016654734.1	XP_028527972.1	XP_028862890.1
5	5	0.562	XP_012334879.1	XP_019917429.1	XP_746145.2	XP_028528374.1	XP_028863923.1
5	5	0.311	XP_012337512.1	XP_019913530.1	XP_741774.1	XP_028526045.1	XP_028860514.1
5	5	0.209	XP_012335019.1	XP_019912812.1	XP_737650.2	XP_028530949.1	XP_028859400.1
5	5	0.275	XP_012334510.1	XP_019915533.1	XP_746203.2	XP_028526496.1	XP_028862719.1
5	5	0.358	XP_012337608.1	XP_019915997.1	XP_745373.2	XP_028526670.1	XP_028862551.1
5	5	0.282	XP_012335096.1	XP_019913277.1	XP_016653405.1	XP_028528757.1	XP_028863544.1
5	5	0.414	XP_012335594.1	XP_019914319.1	XP_741887.2	XP_028526923.1	XP_028861048.1
5	5	0.502	XP_012337229.1	XP_019917445.1	XP_016655556.1	XP_028528612.1	XP_028863687.1
5	5	0.296	XP_012334881.1	XP_019917105.1	XP_746143.2	XP_028528372.1	XP_028863925.1
5	5	0.244	XP_012335278.1	XP_019916004.1	XP_016653979.1	XP_028526598.1	XP_028862623.1
5	5	0.476	XP_012335269.1	XP_019916036.1	XP_016653974.1	XP_028526589.1	XP_028862632.1
5	5	0.501	XP_012335267.1	XP_019915737.1	XP_016653973.1	XP_028526587.1	XP_028862634.1
5	5	0.232	XP_012336012.1	XP_019917510.1	XP_741965.2	XP_028529844.1	XP_028864639.1
5	5	0.172	XP_012337368.1	XP_019914431.1	XP_745240.2	XP_028526975.1	XP_028861101.1
5	5	0.356	XP_012334626.1	XP_019917733.1	XP_741973.1	XP_028529822.1	XP_028864617.1
5	5	0.36	XP_012333418.1	XP_019916281.1	XP_016654673.1	XP_028527817.1	XP_028863047.1
5	5	0.535	XP_012335732.1	XP_019915074.1	XP_016655368.1	XP_028529069.1	XP_028861632.1
5	5	0.32	XP_012335249.1	XP_019915779.1	XP_741473.2	XP_028526570.1	XP_028862651.1
5	5	0.461	XP_012333096.1	XP_019914992.1	XP_016655403.1	XP_028529134.1	XP_028861695.1
5	5	0.354	XP_012333796.1	XP_019913511.1	XP_741501.2	XP_028526330.1	XP_028860324.1
5	5	0.491	XP_012335355.1	XP_019917518.1	XP_741368.2	XP_028526381.1	XP_028864491.1
5	5	0.412	XP_012337878.1	XP_019913069.1	XP_743625.2	XP_028527141.1	XP_028859660.1
5	5	0.519	XP_012337377.1	XP_019914670.1	XP_016654187.1	XP_028526984.1	XP_028861110.1
5	5	0.18	XP_012337829.1	XP_019915258.1	XP_743532.2	XP_028530699.1	XP_028862097.1
5	5	0.514	XP_012335471.1	XP_019915740.1	XP_016654108.1	XP_028526868.1	XP_028862362.1
5	5	0.526	XP_012335664.1	XP_019916915.1	XP_016654445.1	XP_028527426.1	XP_028863432.1
5	5	0.362	XP_012337983.1	XP_019916591.1	XP_741573.2	XP_028528037.1	XP_028862825.1
5	5	0.377	XP_012337137.1	XP_019916234.1	XP_737393.1	XP_028527992.1	XP_028862869.1
5	5	0.266	XP_012334497.1	XP_019915664.1	XP_016652994.1	XP_028526483.1	XP_028862732.1
5	5	0.134	XP_012337161.1	XP_019914326.1	XP_016654214.1	XP_028527028.1	XP_028861155.1
5	5	0.225	XP_012336084.1	XP_019913087.1	XP_745539.1	XP_028527179.1	XP_028859623.1
5	5	0.525	XP_012337396.1	XP_019914301.1	XP_741696.1	XP_028527001.1	XP_028861128.1
5	5	0.386	XP_012338360.1	XP_019914805.1	XP_016655329.1	XP_028528992.1	XP_028861554.1
5	5	0.348	XP_012337868.1	XP_019914033.1	XP_016653850.1	XP_028529649.1	XP_028860884.1
5	5	0.157	XP_012336529.1	XP_019916913.1	XP_736217.2	XP_028527918.1	XP_028862943.1
5	5	0.401	XP_012333948.1	XP_019914103.1	XP_016653741.1	XP_028529423.1	XP_028860659.1
5	5	0.161	XP_012334532.1	XP_019915519.1	XP_740285.1	XP_028530601.1	XP_028859894.1
5	5	0.205	XP_012336695.1	XP_019913868.1	XP_016655195.1	XP_028530100.1	XP_028862171.1
5	5	0.22	XP_012334219.1	XP_019913506.1	XP_738438.2	XP_028526036.1	XP_028860505.1
5	5	0.271	XP_012334338.1	XP_019913297.1	XP_016655519.1	XP_028528675.1	XP_028863625.1
5	5	0.528	XP_012335548.1	XP_019912822.1	XP_742215.2	XP_028525940.1	XP_028859468.1
5	5	0.428	XP_012333277.1	XP_019916257.1	XP_738274.2	XP_028530306.1	XP_028864184.1
5	5	0.349	XP_012333524.1	XP_019916502.1	XP_016654611.1	XP_028527711.1	XP_028863151.1
5	5	0.413	XP_012334666.1	XP_019917890.1	XP_016655029.1	XP_028529778.1	XP_028864574.1
5	5	0.198	XP_012337543.1	XP_019914825.1	XP_744944.2	XP_028529291.1	XP_028861847.1
5	5	0.556	XP_012333464.1	XP_019916190.1	XP_744904.2	XP_028527774.1	XP_028863089.1
5	5	0.424	XP_012334903.1	XP_019917363.1	XP_016655681.1	XP_028528350.1	XP_028863945.1
5	5	0.44	XP_012337261.1	XP_019915127.1	XP_739993.2	XP_028529027.1	XP_028861591.1
5	5	0.177	XP_012337537.1	XP_019914927.1	XP_735834.2	XP_028529297.1	XP_028861853.1
5	5	0.323	XP_012335410.1	XP_019916058.1	XP_738860.2	XP_028526807.1	XP_028862421.1
5	5	0.466	XP_012333517.1	XP_019917048.1	XP_745109.1	XP_028527718.1	XP_028863144.1
5	5	0.546	XP_012335544.1	XP_019912786.1	XP_742088.2	XP_028525945.1	XP_028859473.1
5	5	0.254	XP_012334453.1	XP_019915800.1	XP_016652971.1	XP_028526438.1	XP_028862776.1
5	5	0.341	XP_012333670.1	XP_019914691.1	XP_016653317.1	XP_028527126.1	XP_028861253.1
5	5	0.365	XP_012333664.1	XP_019914694.1	XP_016653320.1	XP_028527121.1	XP_028861248.1
5	5	0.53	XP_012336838.1	XP_019913109.1	XP_740474.2	XP_028528214.1	XP_028859704.1
5	5	0.424	XP_012333566.1	XP_019917128.1	XP_742282.1	XP_028528544.1	XP_028863752.1
5	5	0.323	XP_012333534.1	XP_019917411.1	XP_745937.2	XP_028528576.1	XP_028863720.1
5	5	0.419	XP_012334513.1	XP_019915860.1	XP_016653003.1	XP_028526499.1	XP_028862716.1
5	5	0.329	XP_012335655.1	XP_019916965.1	XP_738069.2	XP_028527417.1	XP_028863441.1
5	6	0.628	XP_012334146.1	XP_019912638.1	XP_016654126.1,XP_743530.2	XP_028526125.1	XP_028860200.1
5	6	0.599	XP_012333451.1,XP_012333452.1	XP_019916181.1	XP_745182.1	XP_028527785.1	XP_028863078.1
5	6	0.556	XP_012337580.1,XP_012337581.1	XP_019917252.1	XP_745797.2	XP_028528623.1	XP_028863676.1
5	6	0.606	XP_012334620.1,XP_012337810.1	XP_019915402.1	XP_016653938.1	XP_028530680.1	XP_028859802.1
5	6	0.58	XP_012337400.1,XP_012338563.1	XP_019913838.1	XP_740030.2	XP_028530044.1	XP_028862113.1
5	6	0.555	XP_012335951.1,XP_012335952.1	XP_019914179.1	XP_732953.2	XP_028529593.1	XP_028860828.1
5	6	0.532	XP_012334322.1	XP_019913074.1,XP_019915598.1	XP_745903.2	XP_028528693.1	XP_028863609.1
5	6	0.612	XP_012336498.1,XP_012337990.1	XP_019916691.1	XP_733821.2	XP_028527508.1	XP_028863351.1
5	6	0.442	XP_012335616.1,XP_012335617.1	XP_019914698.1	XP_016654166.1	XP_028526945.1	XP_028861071.1
5	6	0.562	XP_012335394.1,XP_012335395.1	XP_019917794.1	XP_745924.1	XP_028529733.1	XP_028864529.1
5	6	0.607	XP_012336540.1	XP_019916705.1	XP_745013.2	XP_028527930.1,XP_028527931.1	XP_028862931.1
5	6	0.612	XP_012338125.1	XP_019915051.1,XP_019916768.1	XP_739281.2	XP_028527704.1	XP_028863158.1
5	6	0.608	XP_012336835.1,XP_012337641.1	XP_019914947.1	XP_739283.2	XP_028526648.1	XP_028862572.1
5	6	0.599	XP_012333538.1,XP_012333539.1	XP_019917233.1	XP_745936.2	XP_028528572.1	XP_028863724.1
5	6	0.575	XP_012337827.1	XP_019912592.1,XP_019915440.1	XP_745033.2	XP_028530697.1	XP_028862099.1
5	6	0.621	XP_012337714.1,XP_012338051.1	XP_019915449.1	XP_016654371.1	XP_028525875.1	XP_028861937.1
5	6	0.602	XP_012337276.1	XP_019914784.1,XP_019917285.1	XP_016655341.1	XP_028529012.1	XP_028861576.1
5	6	0.586	XP_012337278.1	XP_019914768.1,XP_019916647.1	XP_016655340.1	XP_028529010.1	XP_028861574.1
5	6	0.619	XP_012338031.1,XP_012338410.1	XP_019912724.1	XP_016653065.1	XP_028526168.1	XP_028860160.1
5	6	0.645	XP_012334750.1,XP_012334751.1	XP_019914175.1	XP_741901.1	XP_028529543.1	XP_028860777.1
5	6	0.599	XP_012337220.1,XP_012338669.1	XP_019917460.1	XP_016655550.1	XP_028528621.1	XP_028863678.1
5	6	0.481	XP_012336968.1,XP_012338356.1	XP_019915010.1	XP_016655327.1	XP_028528988.1	XP_028861550.1
5	6	0.548	XP_012336109.1	XP_019915927.1	XP_016654045.1	XP_028526755.1,XP_028526756.1	XP_028862470.1
5	6	0.506	XP_012334114.1,XP_012338403.1	XP_019912729.1	XP_016653069.1	XP_028526161.1	XP_028860168.1
5	6	0.587	XP_012337291.1,XP_012338367.1	XP_019914915.1	XP_744644.2	XP_028528999.1	XP_028861561.1
5	6	0.589	XP_012336146.1,XP_012336921.1	XP_019917721.1	XP_745083.1	XP_028530520.1	XP_028864393.1
5	6	0.596	XP_012337741.1,XP_012338254.1	XP_019912443.1	XP_743227.2	XP_028525898.1	XP_028860091.1
5	6	0.628	XP_012336856.1,XP_012336857.1	XP_019913320.1	XP_738805.2	XP_028528204.1	XP_028859687.1
5	6	0.573	XP_012337492.1,XP_012338163.1	XP_019916862.1	XP_735183.2	XP_028527975.1	XP_028862887.1
5	6	0.586	XP_012336938.1	XP_019915184.1,XP_019916170.1	XP_016654931.1	XP_028530502.1	XP_028864375.1
5	6	0.592	XP_012333276.1	XP_019912410.1,XP_019917033.1	XP_735425.2	XP_028530307.1	XP_028864185.1
5	6	0.578	XP_012334980.1,XP_012334982.1	XP_019916086.1	XP_735029.1	XP_028527625.1	XP_028863236.1
5	6	0.574	XP_012336284.1,XP_012336286.1	XP_019914592.1	XP_744161.2	XP_028527060.1	XP_028861187.1
5	6	0.569	XP_012337115.1,XP_012337116.1	XP_019916686.1	XP_016654757.1	XP_028528012.1	XP_028862849.1
5	6	0.621	XP_012333897.1,XP_012334819.1	XP_019914101.1	XP_738266.2	XP_028529473.1	XP_028860708.1
5	6	0.602	XP_012333647.1,XP_012338247.1	XP_019917355.1	XP_743913.2	XP_028528462.1	XP_028863834.1
5	6	0.533	XP_012336431.1,XP_012336433.1	XP_019915730.1	XP_738462.2	XP_028526551.1	XP_028862668.1
5	5	0.884	XP_012336364.1	XP_019912993.1	XP_743384.2	XP_028530973.1	XP_028859423.1
5	5	0.951	XP_012336319.1	XP_019914473.1	XP_741944.2	XP_028527094.1	XP_028861221.1
5	5	0.836	XP_012333449.1	XP_019916970.1	XP_743376.1	XP_028527787.1	XP_028863076.1
5	5	0.831	XP_012334175.1	XP_019912752.1	XP_741920.2	XP_028526095.1	XP_028860228.1
5	5	0.882	XP_012335686.1	XP_019916214.1	XP_741942.2	XP_028527448.1	XP_028863410.1
5	5	0.72	XP_012334124.1	XP_019912621.1	XP_741932.2	XP_028526148.1	XP_028860179.1
5	5	0.866	XP_012333951.1	XP_019914042.1	XP_741926.2	XP_028529420.1	XP_028860656.1
5	5	0.854	XP_012334645.1	XP_019917755.1	XP_741922.2	XP_028529800.1	XP_028864595.1
5	5	0.857	XP_012335059.1	XP_019912919.1	XP_741905.1	XP_028530910.1	XP_028859362.1
5	5	0.565	XP_012336320.1	XP_019914590.1	XP_741945.2	XP_028527095.1	XP_028861222.1
2	2	1	*	*	*	XP_028529265.1	XP_028861821.1
5	5	0.859	XP_012333450.1	XP_019916174.1	XP_741946.2	XP_028527786.1	XP_028863077.1
5	5	0.867	XP_012335282.1	XP_019915940.1	XP_743369.1	XP_028526602.1	XP_028862619.1
5	5	0.919	XP_012334856.1	XP_019917442.1	XP_743367.2	XP_028528396.1	XP_028863901.1
5	5	0.86	XP_012337059.1	XP_019916855.1	XP_741958.1	XP_028527850.1	XP_028863015.1
5	5	0.866	XP_012334403.1	XP_019913007.1	XP_741962.2	XP_028528238.1	XP_028859727.1
5	5	0.891	XP_012334795.1	XP_019914121.1	XP_743363.2	XP_028529500.1	XP_028860733.1
5	5	0.823	XP_012334794.1	XP_019914097.1	XP_743362.2	XP_028529501.1	XP_028860734.1
5	5	0.823	XP_012333672.1	XP_019914422.1	XP_741969.2	XP_028527128.1	XP_028861255.1
5	5	0.759	XP_012334752.1	XP_019914026.1	XP_743352.1	XP_028529542.1	XP_028860776.1
5	5	0.771	XP_012336561.1	XP_019915143.1	XP_743348.1	XP_028528914.1	XP_028861477.1
5	5	0.814	XP_012333117.1	XP_019914777.1	XP_741984.2	XP_028529158.1	XP_028861717.1
5	5	0.882	XP_012335815.1	XP_019917560.1	XP_741988.1	XP_028529912.1	XP_028864707.1
5	5	0.817	XP_012333407.1	XP_019916283.1	XP_743400.2	XP_028527826.1	XP_028863039.1
5	5	0.932	XP_012337573.1	XP_019915843.1	XP_743440.2	XP_028526686.1	XP_028862536.1
5	5	0.888	XP_012337855.1	XP_019914106.1	XP_741851.2	XP_028529662.1	XP_028860897.1
5	5	0.82	XP_012336262.1	XP_019915231.1	XP_741862.2	XP_028530754.1	XP_028862045.1
5	5	0.661	XP_012337375.1	XP_019914493.1	XP_743403.2	XP_028526982.1	XP_028861108.1
5	5	0.878	XP_012336795.1	XP_019913850.1	XP_741869.2	XP_028530158.1	XP_028862226.1
5	5	0.763	XP_012335953.1	XP_019914189.1	XP_741871.2	XP_028529592.1	XP_028860827.1
5	5	0.55	XP_012333971.1	XP_019914261.1	XP_741874.2	XP_028529400.1	XP_028860638.1
5	5	0.671	XP_012333792.1	XP_019913356.1	XP_741877.2	XP_028526335.1	XP_028860320.1
5	5	0.909	XP_012333791.1	XP_019913612.1	XP_741878.2	XP_028526336.1	XP_028860319.1
5	5	0.391	XP_012337813.1	XP_019915387.1	XP_741879.2	XP_028530682.1	XP_028859800.1
5	5	0.5	XP_012334789.1	XP_019913939.1	XP_741881.2	XP_028529506.1	XP_028860739.1
5	5	0.875	XP_012333406.1	XP_019916447.1	XP_743401.1	XP_028527827.1	XP_028863038.1
5	5	0.829	XP_012333801.1	XP_019913582.1	XP_741891.2	XP_028526325.1	XP_028860329.1
5	5	0.708	XP_012336950.1	XP_019916730.1	XP_741918.2	XP_028530490.1	XP_028864363.1
5	5	0.829	XP_012336175.1	XP_019917624.1	XP_741893.2	XP_028530548.1	XP_028864421.1
5	5	0.791	XP_012337474.1	XP_019916426.1	XP_741894.2	XP_028527957.1	XP_028862905.1
5	5	0.903	XP_012334150.1	XP_019912723.1	XP_741896.2	XP_028526121.1	XP_028860204.1
5	5	0.833	XP_012334149.1	XP_019912697.1	XP_741897.2	XP_028526122.1	XP_028860203.1
5	5	0.85	XP_012333861.1	XP_019913606.1	XP_741898.1	XP_028526264.1	XP_028860390.1
5	5	0.81	XP_012336733.1	XP_019913723.1	XP_743398.2	XP_028530140.1	XP_028862209.1
5	5	0.842	XP_012333800.1	XP_019913617.1	XP_741900.2	XP_028526326.1	XP_028860328.1
5	5	0.7	XP_012335923.1	XP_019914074.1	XP_743391.1	XP_028529620.1	XP_028860855.1
5	5	0.967	XP_012334837.1	XP_019917432.1	XP_741903.2	XP_028528414.1	XP_028863883.1
5	5	0.866	XP_012334485.1	XP_019915987.1	XP_743419.2	XP_028526472.1	XP_028862743.1
5	5	0.814	XP_012333078.1	XP_019915144.1	XP_741909.1	XP_028529116.1	XP_028861679.1
5	5	0.824	XP_012333493.1	XP_019916313.1	XP_743387.2	XP_028527744.1	XP_028863118.1
5	5	0.83	XP_012336136.1	XP_019915569.1	XP_743270.2	XP_028526785.1	XP_028862442.1
5	5	0.915	XP_012337472.1	XP_019916255.1	XP_743284.2	XP_028527955.1	XP_028862907.1
2	2	1	*	*	*	XP_028529229.1	XP_028861787.1
5	5	0.822	XP_012337473.1	XP_019916824.1	XP_743283.2	XP_028527956.1	XP_028862906.1
5	5	0.873	XP_012337420.1	XP_019913756.1	XP_742085.2	XP_028530061.1	XP_028862132.1
5	5	0.853	XP_012336535.1	XP_019916532.1	XP_743280.2	XP_028527924.1	XP_028862937.1
5	5	0.836	XP_012334142.1	XP_019912717.1	XP_743278.2	XP_028526131.1	XP_028860196.1
5	5	0.686	XP_012334034.1	XP_019912471.1	XP_742090.2	XP_028530814.1	XP_028859956.1
5	5	0.644	XP_012334494.1	XP_019915558.1	XP_743275.1	XP_028526481.1	XP_028862734.1
5	5	0.83	XP_012336313.1	XP_019914371.1	XP_742091.1	XP_028527087.1	XP_028861214.1
4	4	0.893	XP_012333531.1	*	XP_743273.1	XP_028528579.1	XP_028863717.1
5	5	0.404	XP_012337200.1	XP_019913673.1	XP_742100.2	XP_028529990.1	XP_028859038.1
4	4	0.816	XP_012337766.1	XP_019915308.1	XP_742110.2	*	XP_028861955.1
5	5	0.919	XP_012336138.1	XP_019915899.1	XP_743271.2	XP_028526787.1	XP_028862440.1
5	5	0.864	XP_012338664.1	XP_019913334.1	XP_742111.2	XP_028528695.1	XP_028863606.1
5	5	0.826	XP_012335897.1	XP_019915455.1	XP_743290.2	XP_028525785.1	XP_028862028.1
5	5	0.863	XP_012335404.1	XP_019916054.1	XP_742116.1	XP_028526801.1	XP_028862427.1
5	5	0.845	XP_012335753.1	XP_019915176.1	XP_743259.1	XP_028529090.1	XP_028861653.1
5	5	0.645	XP_012334472.1	XP_019915822.1	XP_742123.2	XP_028526458.1	XP_028862756.1
5	5	0.814	XP_012335366.1	XP_019917475.1	XP_743255.1	XP_028526392.1	XP_028864502.1
